Country,Sex,Year,Age-standardised mean systolic blood pressure (mmHg),Age-standardised mean systolic blood pressure lower 95% uncertainty interval (mmHg),Age-standardised mean systolic blood pressure upper 95% uncertainty interval (mmHg),Age-standardised mean diastolic blood pressure (mmHg),Age-standardised mean diastolic blood pressure lower 95% uncertainty interval (mmHg),Age-standardised mean diastolic blood pressure upper 95% uncertainty interval (mmHg),Age-standardised prevalence of raised blood pressure,Age-standardised prevalence of raised blood pressure lower 95% uncertainty interval,Age-standardised prevalence of raised blood pressure upper 95% uncertainty interval,Crude prevalence of raised blood pressure,Crude prevalence of raised blood pressure lower 95% uncertainty interval,Crude prevalence of raised blood pressure upper 95% uncertainty interval,Number of adults with raised blood pressure,Number of adults with raised blood pressure lower 95% uncertainty interval,Number of adults with raised blood pressure upper 95% uncertainty interval
India,Men,1975,122.3503792,114.0411138,130.4062861,78.00794057,72.43596822,83.79510562,0.242063138,0.140102047,0.361623488,0.20548514,0.115451705,0.315216059,35545214.09,19449804.31,54836087.51
India,Men,1976,122.4550171,114.6189209,129.9623108,78.0570721,72.87327948,83.38243002,0.242517194,0.145429434,0.355080051,0.205493935,0.120293323,0.308229194,36525635.9,20734405.75,55089526.4
India,Men,1977,122.557283,115.2194632,129.5242693,78.10391142,73.29961871,83.09187317,0.242985337,0.151062029,0.348326729,0.205587663,0.124488661,0.301771348,37538628.05,22079584.48,55450920.93
India,Men,1978,122.6559573,115.878855,129.2064919,78.14847616,73.66679385,82.78549351,0.243476618,0.156042719,0.342532284,0.205761154,0.128542457,0.295435195,38585311.45,23466345.58,55795756.52
India,Men,1979,122.7563223,116.518464,128.6820555,78.19333947,73.97027887,82.4654594,0.244013295,0.160330873,0.337049037,0.206013491,0.132654768,0.290323129,39669798.4,24859451.39,56368725.96
India,Men,1980,122.8598144,117.0618375,128.4332567,78.24128,74.275245,82.21360944,0.244670892,0.165026454,0.33272438,0.20639886,0.136103943,0.286213331,40806129.53,26342535.32,56982024.33
India,Men,1981,122.9644588,117.6030042,128.125109,78.28855996,74.52614228,81.986022,0.245360649,0.169701023,0.329014062,0.206836902,0.139510808,0.281712055,41978997.82,27781488.87,57767125.67
India,Men,1982,123.0716503,118.0982149,127.9267021,78.33579403,74.85608476,81.75084063,0.246058128,0.174121125,0.324963824,0.207313078,0.143665189,0.278594725,43183993.7,29301589.15,58592350.46
India,Men,1983,123.1765187,118.5409166,127.648957,78.38027456,75.10454368,81.55502818,0.246694916,0.177947365,0.321292031,0.207769882,0.14692938,0.275374519,44409333.45,30757750.83,59485160.96
India,Men,1984,123.2842964,119.0092018,127.41566,78.4250114,75.34422584,81.40207295,0.247297457,0.181787497,0.319315999,0.208237084,0.150305572,0.273487071,45661300.16,32215316.82,60524394.25
India,Men,1985,123.3958661,119.3904767,127.2676063,78.47110658,75.59602766,81.25324435,0.247918658,0.18471692,0.31792562,0.208765044,0.152896705,0.271817857,46951383.73,33664638.37,61646769.94
India,Men,1986,123.5105267,119.74689,127.1635583,78.51439562,75.82069224,81.13422277,0.248543133,0.187292005,0.315563193,0.209341817,0.155246367,0.269578094,48278460.03,35058175.38,62724875.31
India,Men,1987,123.6284815,120.0886168,127.1042789,78.55401135,76.02784506,81.00431842,0.249139406,0.189980138,0.313490274,0.209935198,0.157263931,0.268074724,49635616.42,36460912.78,63966232.25
India,Men,1988,123.7475308,120.4286091,127.047967,78.58750682,76.22263258,80.91175388,0.249699739,0.19209545,0.312112756,0.210530374,0.159835588,0.26671551,51018027.44,37840251.99,65282444.22
India,Men,1989,123.8628147,120.6567693,126.9965288,78.61357511,76.41564807,80.79243143,0.250153766,0.194453789,0.310015515,0.211053495,0.161923782,0.265297527,52405319.58,39270163.54,66681140.38
India,Men,1990,123.9803088,120.9310822,126.9413615,78.63384972,76.54347593,80.67054423,0.250594507,0.196724992,0.308728229,0.21158101,0.164140155,0.263784739,53814591.06,40670797.33,68039492.24
India,Men,1991,124.0989883,121.1918639,126.9116311,78.64561741,76.68100326,80.60844845,0.250985454,0.198549746,0.307457559,0.212079784,0.16602919,0.262942251,55235918.48,42099134.21,69496821.38
India,Men,1992,124.222936,121.4568042,126.8866354,78.65425787,76.79831319,80.5151911,0.251398207,0.200545908,0.307008808,0.212618621,0.167539055,0.262796925,56688762.48,43608993.84,70900595.04
India,Men,1993,124.3499868,121.7008124,126.9257923,78.65980086,76.86369977,80.44231111,0.251807779,0.202765274,0.30533716,0.213180764,0.168668239,0.26195168,58174950.33,45074038.44,72414698.68
India,Men,1994,124.4822991,121.9080176,126.9624383,78.66411316,76.94724963,80.36030093,0.252220569,0.204385902,0.304014774,0.213779292,0.170966151,0.260769024,59706320.18,46603319.43,73928933.94
India,Men,1995,124.622063,122.2006124,126.9886957,78.67075842,77.03326686,80.29692317,0.252681925,0.206474999,0.303740877,0.214460938,0.172518427,0.260867128,61302364,48152146.15,75562142.18
India,Men,1996,124.770198,122.485253,127.0323473,78.68190143,77.1118831,80.2626724,0.25317264,0.207998287,0.302757715,0.21520965,0.17427143,0.260147398,62961965.47,49849047.04,77233921.54
India,Men,1997,124.9303153,122.7226417,127.0876442,78.69778066,77.20817645,80.21638972,0.253711744,0.209541118,0.301545132,0.216043937,0.176192855,0.260319519,64689913.8,51505654.96,79000925.49
India,Men,1998,125.101787,122.9475848,127.180886,78.72007843,77.25961264,80.19673189,0.25433506,0.211488013,0.30131892,0.21700007,0.177943606,0.260509473,66495415.68,53256894.91,80847800.46
India,Men,1999,125.2829344,123.2052864,127.2790319,78.74827246,77.35047595,80.15036782,0.25501242,0.213164643,0.301168689,0.218054743,0.179532722,0.26013151,68368039.79,55078739.2,82700499.19
India,Men,2000,125.4710168,123.5048092,127.3734548,78.78412295,77.43681645,80.1346302,0.255764266,0.214670288,0.300680889,0.219230366,0.181901379,0.259871495,70312492.1,56949732.68,84673422.76
India,Men,2001,125.6684536,123.7783214,127.4969157,78.83168178,77.51653783,80.11700552,0.25661567,0.216172444,0.300047904,0.220550416,0.184112278,0.26013641,72337542.61,58911587.52,86724377.26
India,Men,2002,125.8748698,124.068806,127.6618299,78.89348144,77.64241732,80.10660833,0.257561885,0.218251506,0.30017152,0.222011348,0.185916849,0.261117471,74445148.83,60914885.6,88863847.94
India,Men,2003,126.0827911,124.3896579,127.8004629,78.96762399,77.77894094,80.11355241,0.258509586,0.220041787,0.299764008,0.223530771,0.188108052,0.262029504,76608765.27,62933700.67,91073741.69
India,Men,2004,126.285084,124.6514579,127.9276128,79.05445747,77.93148141,80.16318491,0.259471059,0.221625644,0.299930668,0.225123235,0.190236519,0.263174738,78833521.8,65030868.23,93439576.18
India,Men,2005,126.4753661,124.9000268,128.0572363,79.15886097,78.10163025,80.2290641,0.260414488,0.222846625,0.300665944,0.226761927,0.19197997,0.264394384,81110116.58,67095711.12,95916549.15
India,Men,2006,126.6490504,125.0802101,128.197771,79.2763821,78.25654137,80.30149102,0.261286444,0.223691483,0.301183688,0.228396566,0.193197621,0.265288183,83419546.58,69150289.62,98620436.53
India,Men,2007,126.8017615,125.2584715,128.3348713,79.4029948,78.39459956,80.40921072,0.262057327,0.224586031,0.30234553,0.229996709,0.195391891,0.267164262,85748641.16,71027348.81,101469229.5
India,Men,2008,126.929142,125.3419108,128.5076261,79.53652929,78.5064074,80.54950111,0.262788775,0.224157565,0.304088943,0.231615667,0.195431882,0.270493856,88115443.46,72787808.41,104534875.2
India,Men,2009,127.0287468,125.3380204,128.7034114,79.67416086,78.57671679,80.74134552,0.263468473,0.223274543,0.306957336,0.233236063,0.19605429,0.273967018,90512234.86,74280689.31,107982858.6
India,Men,2010,127.100634,125.2710824,128.90825,79.81411125,78.62273827,80.97118673,0.264028458,0.2221289,0.309975576,0.234789804,0.19563343,0.278316145,92910558.8,75578093.44,111739179
India,Men,2011,127.1467056,125.0683733,129.1634111,79.95458388,78.6337059,81.25311412,0.264399735,0.219103539,0.313737688,0.23620966,0.194273048,0.283204628,95279886.04,76522637.84,115825477
India,Men,2012,127.1840913,124.8329049,129.4451013,80.10064988,78.58126507,81.56475211,0.264829971,0.21627328,0.318570421,0.237725494,0.191948778,0.288664965,97709642.1,77301634.35,120444965.8
India,Men,2013,127.2150206,124.5559461,129.7669497,80.24658487,78.52110734,81.95386211,0.265200464,0.211879257,0.323760308,0.239223944,0.189206716,0.294634421,100152759.9,77574304.7,125251287.9
India,Men,2014,127.2411243,124.2033264,130.1583826,80.38974789,78.43144464,82.35887197,0.265564392,0.207153641,0.329868503,0.240752563,0.185998059,0.302241793,102627282.2,77719551.41,130415019
India,Men,2015,127.2613457,123.7454941,130.5492802,80.53126841,78.29978409,82.79214916,0.265892807,0.202463553,0.33694513,0.242281547,0.182880774,0.310962235,105118955.3,77621029.38,136071598.9
India,Women,1975,119.1248843,109.9436382,127.6244174,75.78221136,69.8523149,81.62173839,0.221230723,0.129883287,0.33738063,0.176925202,0.098635441,0.280872567,28327076.37,15482532.35,45435299.07
India,Women,1976,119.3003984,110.7425434,127.1490139,75.89237004,70.36875043,81.38323775,0.222274161,0.134808649,0.33112078,0.177761392,0.102838328,0.276229336,29231345.24,16611611.76,45818000.4
India,Women,1977,119.4734114,111.4803707,126.7471125,76.0007051,70.84624192,81.11121081,0.223320035,0.141027354,0.325719654,0.178666502,0.107669281,0.270311414,30177547.85,17834700.95,46276596.05
India,Women,1978,119.6473487,112.1996663,126.4378572,76.10984569,71.29081512,80.82482132,0.224393765,0.146823576,0.321095001,0.179644775,0.112467145,0.265688704,31166124.36,19092675.94,46784544.91
India,Women,1979,119.8180242,112.8868016,126.0897395,76.21988856,71.71603404,80.55773512,0.225464559,0.151359398,0.317185966,0.180641495,0.116626824,0.263352909,32187495.81,20307810.54,47308747.99
India,Women,1980,119.9901771,113.5631003,125.7560807,76.32824892,72.16903234,80.31410168,0.226532502,0.156093308,0.313390215,0.1816382,0.120717728,0.259000976,33237811.3,21543532.73,47967722.16
India,Women,1981,120.1610848,114.3005738,125.6080729,76.43461106,72.63610825,80.08089654,0.227599673,0.160242998,0.310372458,0.182638081,0.124367818,0.25572441,34316967.16,22816615.22,48592394.53
India,Women,1982,120.3315408,114.9092102,125.3939255,76.53752523,73.04351085,79.89720786,0.228643807,0.164451032,0.306563587,0.183630988,0.127360069,0.25224414,35422354.28,24058963.47,49386177.76
India,Women,1983,120.5004262,115.6020525,125.1703959,76.63935543,73.41362728,79.81512949,0.229674172,0.167738908,0.303274263,0.184629043,0.130636693,0.249787268,36555735.84,25339578.92,50186654.63
India,Women,1984,120.6701926,116.0749474,125.0408023,76.74003495,73.72466802,79.6894985,0.230704852,0.170930953,0.300236764,0.185650974,0.133803772,0.248077982,37720600.6,26600357.84,51091402.06
India,Women,1985,120.8438066,116.6122311,124.9374447,76.83902051,74.05412378,79.63199402,0.23171571,0.174191706,0.298686629,0.18668368,0.136699598,0.245731747,38914531.93,27828109.36,52146550.28
India,Women,1986,121.0191088,117.0477385,124.9031014,76.93746444,74.31176299,79.52585884,0.232761393,0.177125375,0.295475702,0.187775697,0.139341918,0.243999322,40148054.73,29055279.59,53221503.68
India,Women,1987,121.2000209,117.5158953,124.8183074,77.03792931,74.56974862,79.41800784,0.233812229,0.180059245,0.293829965,0.188902943,0.142371805,0.242458451,41417519.83,30317518.37,54425920.61
India,Women,1988,121.3843285,117.9012868,124.7530566,77.13541749,74.81977104,79.37948775,0.234827323,0.182764193,0.292755385,0.190035531,0.144519978,0.242177198,42718434.36,31603812.31,55672882.72
India,Women,1989,121.5674564,118.2905176,124.7456797,77.2272763,75.0687504,79.34235697,0.235804378,0.185561203,0.292005578,0.191179058,0.146905433,0.240727736,44054415.02,32951399,56897585.66
India,Women,1990,121.7458514,118.6798907,124.7907136,77.31006098,75.26848247,79.31744117,0.23671614,0.187390827,0.290691316,0.192314593,0.149103113,0.240367097,45423228.06,34292833.02,58223864.26
India,Women,1991,121.9207869,119.0412285,124.8162357,77.38263319,75.48393906,79.30876966,0.237527045,0.189649541,0.290754109,0.193413748,0.151269684,0.240694818,46818200.5,35659306.96,59614889.29
India,Women,1992,122.0930134,119.3521901,124.8159087,77.44575182,75.63618535,79.27296882,0.238246548,0.192109496,0.289778355,0.194484265,0.153974695,0.240536001,48241411.93,37033748.99,61099680.92
India,Women,1993,122.2602271,119.6128828,124.8026166,77.50040906,75.7509993,79.25055015,0.23889257,0.194062575,0.289389791,0.19553677,0.155463281,0.24053144,49698153.81,38419622.68,62622512.02
India,Women,1994,122.4225594,119.9269812,124.8341106,77.54667904,75.87305172,79.21838013,0.239457041,0.195578645,0.287942547,0.196556833,0.157431814,0.240101146,51188169.61,39808433.01,64206001.88
India,Women,1995,122.5747614,120.2063295,124.8985797,77.58502732,76.00770649,79.18983751,0.239976794,0.19687996,0.286906384,0.197573479,0.159285262,0.240142905,52721267.9,41288308.48,65814496.66
India,Women,1996,122.720473,120.4443251,124.951287,77.61779236,76.10626555,79.16322634,0.240404971,0.198041781,0.286451908,0.198544991,0.160721269,0.24025213,54287016.03,42713178.59,67366807.55
India,Women,1997,122.8653539,120.6689068,125.0076068,77.6484823,76.19421923,79.1383108,0.240834807,0.199309229,0.28580312,0.199559329,0.162630647,0.240554966,55908223.8,44240780.79,69036826.68
India,Women,1998,123.0147938,120.902164,125.0727346,77.67907012,76.31985388,79.16279625,0.241241548,0.20116838,0.284665648,0.200598612,0.16476385,0.24046489,57578750.52,45856849.75,70803737.15
India,Women,1999,123.1684394,121.1304332,125.2011535,77.7115702,76.38750033,79.14761256,0.241639186,0.202624458,0.283989952,0.201681491,0.166732894,0.239981492,59301616.82,47479164.43,72614420.31
India,Women,2000,123.3265006,121.3858259,125.268453,77.74628999,76.43605761,79.09792862,0.242070869,0.204002436,0.282796964,0.202851676,0.16853266,0.240473881,61088223.82,49191647.14,74380855.64
India,Women,2001,123.4931545,121.6276189,125.3779417,77.78701963,76.53423973,79.08882924,0.242506518,0.205056678,0.282025491,0.204082158,0.170729879,0.240372934,62930696.33,50886527.54,76298304.45
India,Women,2002,123.6679261,121.8780593,125.4528871,77.8370011,76.63125771,79.09321829,0.243001128,0.206544696,0.280918957,0.205424771,0.17255708,0.240599106,64845716.47,52717073.83,78250252.18
India,Women,2003,123.8437272,122.1624033,125.5423594,77.8955274,76.72431952,79.09813266,0.243490783,0.208160287,0.280326315,0.206829377,0.174789913,0.241154669,66817584.65,54629120.81,80232552.69
India,Women,2004,124.0133405,122.4204602,125.6629371,77.96713821,76.8632352,79.08552502,0.243959756,0.209363203,0.279356937,0.208290311,0.177010112,0.241178496,68843640.87,56450712.12,82359954.28
India,Women,2005,124.1675097,122.633186,125.7582732,78.05033311,77.00201974,79.12318637,0.244436602,0.209598446,0.279807755,0.209839164,0.178632235,0.242250626,70933511.75,58257977.57,84630116.26
India,Women,2006,124.2999304,122.804883,125.8196796,78.14213602,77.12030958,79.16333787,0.244900554,0.21019762,0.279750682,0.211457729,0.180032922,0.244221508,73081446.37,60067999.03,87101148.01
