States/UTs,Area,Marasmus,Kwashiorkor,Bitots Spot,Corneal Xerosis,Corneal Opacity,Keratomal,Angular Stomatitis,Glossitis,Phrynoderma,Dental Fluo.,Goitre
Haryana,R,0.11,0.01,0.04,0.01,0,0,0.23,0.81,0.2,1.91,0.53
Himachal Pradesh,R,0.08,0.01,0.01,0,0,0,0.56,0.11,0,0,2.47
Punjab,R,0,0,0.12,0,0,0.01,0.05,0.02,0,2.81,0.07
Rajasthan,C,0.03,0.01,0.22,0.16,0.02,0.09,0.01,0,0,0.43,0.05
Rajasthan,R,0.04,0.01,0.25,0.18,0.02,0.11,0.01,0,0.01,0.46,0.03
Rajasthan,U,0,0.03,0.09,0.07,0.02,0.01,0,0.01,0,0.32,0.06
Chandigarh,C,0.04,0,0,0,0,0,0,0,0,0,0.04
Chandigarh,R,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,U,0.05,0,0,0,0,0,0,0,0,0,0.05
Delhi,C,0,0.01,0.05,0.02,0,0.04,0,0,0,0.06,0.04
Delhi,R,0,0,0.16,0,0,0,0,0,0,0,0.17
Delhi,U,0,0.01,0.04,0.02,0,0.04,0,0,0,0.06,0.03
Bihar,C,0.06,0.05,0.14,0.08,0.06,0.06,0.49,0.44,0.02,0.43,0.17
Bihar,R,0.07,0.05,0.14,0.09,0.06,0.06,0.52,0.44,0.02,0.44,0.16
Bihar,U,0.05,0.04,0.18,0.05,0.03,0.04,0.34,0.36,0.03,0.38,0.19
Sikkim,C,0.06,0.07,0.19,0.86,0.07,0.01,0.21,0.12,0.05,0.65,1.96
Sikkim,R,0.08,0.09,0.23,0.95,0.08,0.01,0.26,0.11,0.06,0.73,2.32
Sikkim,U,0,0,0,0.32,0.04,0,0,0.16,0,0.14,0.63
Orissa,R,0.16,0,0.86,0,0,0,1.44,0,0,0,0.17
Arunachal Pradesh,R,0.25,0.18,0.34,0.36,0.25,0.24,0.18,0.17,0.12,2.14,0.35
Assam,R,0.03,0,0.45,0,0,0,0.3,0.64,0,0.01,1.21
Manipur,C,0.02,0.04,0.14,0.08,0.12,0.15,0.31,0.11,0.01,0.17,3.83
Manipur,R,0.01,0.04,0.15,0.07,0.09,0.02,0.34,0.15,0.01,0.18,4.12
Manipur,U,0.02,0.04,0.09,0.09,0.2,0,0.18,0.11,0,0.11,2.31
Meghalaya,C,0.15,0.23,0.18,0.07,0.1,0.11,0.22,0.13,0.02,0.37,0.41
Meghalaya,R,0.13,0.22,0.12,0.05,0.11,0.08,0.2,0.1,0.02,0.43,0.43
Meghalaya,U,0.31,0.32,0.5,0.13,0.09,0.18,0.32,0.32,0.05,0,0.27
Mizoram,C,0.38,0.02,2.97,1.27,0.69,0.28,0.95,1.77,0.53,1.8,4.86
Mizoram,R,0.44,0.02,3.55,1.31,0.73,0.24,1.13,2.06,0.68,1.98,5.07
Mizoram,U,0.12,0,0.81,1.16,0.52,0.43,0.26,0.72,0,1.12,4.12
Nagaland,R,0.26,0.12,0.35,0.32,0.07,0,0.12,0.54,0.39,0.27,0.83
Tripura,C,0.17,0.16,0.02,0.12,0.03,0.04,0.14,0.03,0,1.87,0.04
Tripura,R,0.17,0.16,0.03,0.1,0.02,0.04,0.14,0.02,0,1.59,0.04
Tripura,U,0,0,0,0.57,0,0,0,0,0,8.05,0
Dardra & Nagar Haveli,R,0,0,0.38,0,0,0.11,0,0,0.06,0.17,0
Daman & Diu,R,0.1,0.05,0,0,0.05,0,0.21,0.32,0,0.1,0
Goa,C,0.03,0,0,0.1,0,0,0.21,0.12,0.1,0.05,1.33
Goa,R,0.04,0,0,0,0,0,0.26,0.14,0.12,0.06,2.14
Goa,U,0,0,0,0.45,0,0,0,0,0,0,9.23
Gujarat,R,0,0,0.2,0,0,0,0.55,0,0,0.54,0
Maharashtra,R,0,0,0.72,0,0,0,0.69,0,0,0.07,0
Kerala,R,0,0,0.25,0,0,0,0.14,0,0,0.15,4.05
Karnataka,R,0,0,0.77,0,0,0,1.33,0,0,5.38,4.11
Tamil Nadu,R,0.05,0,3.11,0,0,0,4.02,0,0,0.5,0
Andhra Pradesh,R,0.05,0,0.79,0,0,0,2.26,0,0,1.5,0
Madhya Pradesh*,R,0.18,0,2.62,0,0,0,6.3,0,0,2.24,5.74
